Implementation,threads,Image Size,Time (s),numba_threads_actual
Baseline,0,125x125,0.13245979195926338,
Numba,1,125x125,0.001443459012079984,1
Numba (2 threads),2,125x125,0.0010462909704074264,2
Numba (4 threads),4,125x125,0.000782167015131563,4
Numba (8 threads),8,125x125,0.0005777080077677965,8
Numba (11 threads),11,125x125,0.0005787500413134694,11
Baseline,0,250x250,0.5356862090411596,
Numba,1,250x250,0.004857207997702062,1
Numba (2 threads),2,250x250,0.003338292008265853,2
Numba (4 threads),4,250x250,0.002177374961320311,4
Numba (8 threads),8,250x250,0.00166245800210163,8
Numba (11 threads),11,250x250,0.0015850840136408806,11
Baseline,0,500x500,2.1210215000319295,
Numba,1,500x500,0.01793329097563401,1
Numba (2 threads),2,500x500,0.012301208975259215,2
Numba (4 threads),4,500x500,0.006867584015708417,4
Numba (8 threads),8,500x500,0.0051704999641515315,8
Numba (11 threads),11,500x500,0.004597999970428646,11
Baseline,0,1000x1000,8.820512584003154,
Numba,1,1000x1000,0.06880279199685901,1
Numba (2 threads),2,1000x1000,0.04204037500312552,2
Numba (4 threads),4,1000x1000,0.024145166971720755,4
Numba (8 threads),8,1000x1000,0.01997349999146536,8
Numba (11 threads),11,1000x1000,0.018437457969412208,11
Baseline,0,2000x2000,35.29815779195633,
Numba,1,2000x2000,0.2714856670354493,1
Numba (2 threads),2,2000x2000,0.15090066700940952,2
Numba (4 threads),4,2000x2000,0.0858632079907693,4
Numba (8 threads),8,2000x2000,0.06331095797941089,8
Numba (11 threads),11,2000x2000,0.055684082966763526,11
Baseline,0,4000x4000,139.36363612499554,
Numba,1,4000x4000,1.1140843330067582,1
Numba (2 threads),2,4000x4000,0.5955260419868864,2
Numba (4 threads),4,4000x4000,0.3275157499592751,4
Numba (8 threads),8,4000x4000,0.24534174997825176,8
Numba (11 threads),11,4000x4000,0.2091459590010345,11
